code,ISO
175,AFG
120,ALB
106,DZA
9,ASM
107,AND
217,AGO
26,AIA
209,ATA
27,ATG
18,ARG
167,ARM
49,ABW
233,AUS
136,AUT
168,AZE
169,BHR
180,BGD
41,BRB
151,BLR
144,BEL
57,BLZ
111,BEN
50,BMU
181,BTN
19,BOL
121,BIH
202,BWA
210,BVT
20,BRA
226,IOT
28,VGB
182,BRN
128,BGR
84,BFA
203,BDI
187,KHM
112,CMR
34,CAN
75,CPV
58,CYM
113,CAF
114,TCD
21,CHL
183,CHN
234,CXR
235,CCK
59,COL
211,COM
219,COD
218,COG
10,COK
60,CRI
76,CIV
122,HRV
61,CUB
129,CYP
137,CZE
138,DNK
92,DJI
42,DMA
51,DOM
22,ECU
130,EGY
62,SLV
115,GNQ
93,ERI
152,EST
94,ETH
0,FLK
66,FRO
238,FJI
153,FIN
145,FRA
1,GUF
11,PYF
212,ATF
220,GAB
131,GEO
146,DEU
77,GHA
78,GIB
132,GRC
67,GRL
43,GRD
44,GLP
196,GUM
35,GTM
68,GGY
85,GIN
86,GNB
2,GUY
52,HTI
63,HND
139,HUN
69,ISL
159,IND
236,IDN
170,IRN
98,IRQ
70,IRL
71,IMN
99,ISR
123,ITA
53,JAM
197,JPN
73,JEY
100,JOR
101,KAZ
204,KEN
38,KIR
171,KWT
176,KGZ
188,LAO
154,LVA
133,LBN
221,LSO
79,LBR
108,LBY
147,LIE
155,LTU
148,LUX
124,MKD
228,MDG
215,MWI
189,MYS
160,MDV
87,MLI
125,MLT
198,MHL
45,MTQ
88,MRT
229,MUS
230,MYT
39,MEX
199,FSM
156,MDA
109,MCO
184,MNG
247,MNE
29,MSR
80,MAR
216,MOZ
190,MMR
222,NAM
239,NRU
177,NPL
248,NLD
54,ANT
240,NCL
223,NZL
64,NIC
116,NER
117,NGA
13,NIU
241,NFK
191,PRK
200,MNP
102,NOR
161,OMN
178,PAK
185,PLW
65,PAN
242,PNG
23,PRY
24,PER
186,PHL
3,PCN
140,POL
81,PRT
30,PRI
172,QAT
231,REU
157,ROU
103,RUS
205,RWA
14,WSM
126,SMR
118,STP
173,SAU
89,SEN
246,SRB
232,SYC
90,SLE
192,SGP
141,SVK
142,SVN
243,SLB
162,SOM
224,ZAF
4,SGS
193,KOR
82,ESP
163,LKA
5,SHN
31,KNA
46,LCA
47,SPM
48,VCT
95,SDN
6,SUR
143,SJM
225,SWZ
104,SWE
149,CHE
134,SYR
179,TJK
206,TZA
194,THA
55,BHS
91,GMB
237,TLS
119,TGO
15,TKL
16,TON
7,TTO
110,TUN
135,TUR
164,TKM
56,TCA
244,TUV
96,UGA
158,UKR
174,ARE
74,GBR
150,USA
25,URY
165,UZB
245,VUT
127,VAT
8,VEN
195,VNM
32,VIR
17,WLF
105,PSE
83,ESH
166,YEM
207,ZMB
208,ZWE
